Municipality of residence,People,Average age
40001 Abades,875,45.04
10001 Abadía,325,42.54
27001 Abadín,2765,55.76
48001 Abadiño,7335,40.9
31001 Abáigar,100,53.58
26001 Ábalos,330,46.94
20001 Abaltzisketa,320,40.82
30001 Abanilla,6430,44.17
50001 Abanto,125,59.93
48002 Abanto y Ciérvana-Abanto Zierbena,9680,42.17
30002 Abarán,13120,40.3
31002 Abárzuza/Abartzuza,550,45.33
31003 Abaurregaina/Abaurrea Alta,135,51.7
15001 Abegondo,5700,48.19
42001 Abejar,360,51.4
25001 Abella de la Conca,170,51.66
02001 Abengibre,860,49.25
13001 Abenójar,1590,47.85
31005 Aberin,390,46.24
10002 Abertura,445,49.47
49002 Abezames,80,55.48
34003 Abia de las Torres,180,52.26
22001 Abiego,275,49.24
22002 Abizanda,135,47.36
04001 Abla,1460,45.67
19002 Ablanque,105,64.89
31006 Ablitas,2650,43.41
08001 Abrera,11800,37.94
04002 Abrucena,1350,47.12
37001 Abusejo,235,56.19
24001 Acebedo,255,54.13
10003 Acebo,660,50.64
"16002 Acebrón, El",250,46.39
06001 Acedera,810,46.46
10004 Acehúche,840,46.35
10005 Aceituna,635,44.73
50002 Acered,240,55.9
06002 Aceuchal,5660,40.18
22003 Adahuesca,180,48.41
14001 Adamuz,4415,42.42
05001 Adanero,265,46.52
38001 Adeje,42865,37.86
46001 Ademuz,1205,43.08
31007 Adiós,185,50.89
46002 Ador,1430,42.04
04003 Adra,24370,37.95
09003 Adrada de Haza,240,52.97
"05002 Adrada, La",2685,42.03
42003 Adradas,70,63.93
40003 Adrados,165,62.27
03001 Adsubia,675,54.07
20002 Aduna,450,38.71
35001 Agaete,5730,42.93
37002 Agallas,135,56.46
25002 Àger,530,48.45
36020 Agolada,2775,53.59
50003 Agón,165,49.15
26002 Agoncillo,1150,43.59
03002 Agost,4750,41.98
25003 Agramunt,5595,41.51
42004 Ágreda,2965,43.58
03003 Agres,575,45.32
18001 Agrón,340,46.06
41001 Aguadulce,2140,42.31
50004 Aguarón,820,47.79
44004 Aguaviva,645,45.71
13002 Agudo,1855,50.25
22004 Agüero,135,53.52
40004 Aguilafuente,675,48.04
34004 Aguilar de Campoo,7010,44.2
47003 Aguilar de Campos,305,52.08
31008 Aguilar de Codés,100,58.99
14002 Aguilar de la Frontera,13665,40.69
26003 Aguilar del Río Alhama,545,53.5
30003 Águilas,34135,38.76
50005 Aguilón,260,56.68
35002 Agüimes,29545,36.62
17001 Agullana,840,43
46004 Agullent,2460,40.77
38002 Agulo,1150,48.6
10006 Ahigal,1435,48.57
37003 Ahigal de los Aceiteros,140,65.73
06003 Ahillones,995,49.54
20016 Aia,2025,40
31009 Aibar/Oibar,875,47.57
46042 Aielo de Malferit,4695,39.6
46043 Aielo de Rugat,185,44.36
08014 Aiguafreda,2405,42.42
43001 Aiguamúrcia,890,44.44
17002 Aiguaviva,775,37.36
03004 Aigües,1050,44.19
12002 Aín,140,53.65
22907 Aínsa-Sobrarbe,2130,41.49
50006 Ainzón,1175,46.18
22006 Aisa,370,47.11
25038 Aitona,2220,41.42
20003 Aizarnazabal,760,37.79
28002 Ajalvir,4085,35.78
26004 Ajamil de Cameros,80,52.56
48911 Ajangiz,455,44.69
45001 Ajofrín,2305,41.55
44006 Alacón,335,57.6
47004 Alaejos,1470,49.57
50008 Alagón,6915,40
10903 Alagón del Río,910,44.79
07002 Alaior,9420,40.72
21001 Alájar,795,40.99
38003 Alajeró,2000,41.84
29001 Alameda,5425,39.16
"37005 Alameda de Gardón, La",100,66.09
45002 Alameda de la Sagra,3510,39.53
28003 Alameda del Valle,245,47.8
18002 Alamedilla,695,46.09
"37006 Alamedilla, La",155,59.98
13003 Alamillo,515,53.8
"28004 Álamo, El",8205,37.02
"25004 Alamús, Els",740,45.21
06004 Alange,1960,42.07
41002 Alanís,1860,41.92
46005 Alaquàs,30145,39.82
34005 Alar del Rey,1030,53.02
37007 Alaraz,540,51.26
50009 Alarba,160,53.33
16003 Alarcón,180,47.12
19005 Alarilla,115,50.7
07001 Alaró,5275,40.35
25005 Alàs i Cerc,375,45.74
02002 Alatoz,585,51.72
44007 Alba,230,55
34006 Alba de Cerrato,85,55.24
37008 Alba de Tormes,5280,41.63
37009 Alba de Yeltes,250,57.71
02003 Albacete,171030,39.1
"25006 Albagés, L'",430,48.52
46006 Albaida,6110,41.39
41003 Albaida del Aljarafe,2995,34.72
46007 Albal,15695,36.84
10007 Albalá,765,51.31
13004 Albaladejo,1415,49.03
16004 Albaladejo del Cuende,335,60.92
46008 Albalat de la Ribera,3490,42.02
46009 Albalat dels Sorells,3910,42.4
46010 Albalat dels Tarongers,1140,43.26
22007 Albalate de Cinca,1245,44.98
16005 Albalate de las Nogueras,290,55.5
19006 Albalate de Zorita,1060,46.22
44008 Albalate del Arzobispo,2050,46.98
22008 Albalatillo,220,54.95
04004 Albánchez,745,54.75
23001 Albanchez de Mágina,1230,49.36
17003 Albanyà,140,47.82
19007 Albares,480,47.51
44009 Albarracín,1020,43.64
45003 Albarreal de Tajo,750,42.7
02004 Albatana,785,48.91
25007 Albatàrrec,2075,37.7
03005 Albatera,11690,38.24
22009 Albelda,810,50.82
26005 Albelda de Iregua,3170,40.63
16006 Albendea,145,56.01
44010 Albentosa,290,41.25
"16007 Alberca de Záncara, La",1835,44.71
"37010 Alberca, La",1190,44.44
"37011 Alberguería de Argañán, La",140,54.93
46011 Alberic,11125,39.97
26006 Alberite,2690,40.7
50010 Alberite de San Juan,95,55.96
22011 Albero Alto,130,43.58
22012 Albero Bajo,115,46.49
22013 Alberuela de Tubo,345,50.32
25008 Albesa,1660,42.86
50011 Albeta,150,42.46
"25009 Albi, L'",860,44.87
09009 Albillos,215,38.39
43002 Albinyana,2355,41.58
"43003 Albiol, L'",445,36.04
20004 Albiztur,315,41.65
12003 Albocàsser,1355,48.82
04005 Alboloduy,685,51.54
18003 Albolote,17395,36.74
18004 Albondón,910,44.78
17004 Albons,705,41.16
46012 Alborache,1220,39.75
46013 Alboraya,22855,38.9
02005 Alborea,825,46.91
50012 Alborge,120,49.35
05005 Albornos,220,49.36
04006 Albox,10860,40.95
30004 Albudeite,1425,40.51
"06005 Albuera, La",2010,41.09
46014 Albuixech,3900,42.17
18005 Albuñán,430,46.24
18006 Albuñol,6585,37.77
18007 Albuñuelas,950,47.49
